Date,WMT,MRK,INTC,MSFT,MMM,AAPL,VZ,JNJ,KO,PG,UNH,PFE,WBA,CAT,MCD,IBM,NKE,DIS,HD,TRV,RTX,AXP,CVX,JPM,XOM,BA
1990-01-03,5.890625,13.3125,1.09375,0.6197919845581055,20.34375,0.3348209857940674,25.574491500854492,7.515625,4.804687976837158,8.796875,0.375,2.8166511058807373,2.953125,7.4375,8.625,24.71875,0.859375,9.515615463256836,1.8703700304031372,15.09375,4.316786766052246,9.076313972473145,17.0,10.333333015441895,12.375,21.0
1990-01-04,5.859375,13.104166984558105,1.1171879768371582,0.6380209922790527,20.5,0.3359380066394806,24.590856552124023,7.53125,4.78125,8.625,0.3710939884185791,2.861124038696289,2.851562976837158,7.46875,8.46875,25.0,0.8417969942092896,9.505338668823242,1.8827159404754639,15.375,4.3069539070129395,8.979757308959961,16.78125,10.375,12.25,20.916667938232422
1990-01-05,5.796875,12.833333015441895,1.109375,0.6223959922790527,20.15625,0.3370540142059326,24.028779983520508,7.453125,4.742187976837158,8.46875,0.3554689884185791,2.8364169597625732,2.78125,7.421875,8.3125,24.9375,0.8671879768371582,9.53616714477539,1.8580249547958374,15.3125,4.3069539070129395,8.883200645446777,16.53125,10.416666984558105,12.1875,20.625
1990-01-08,5.875,13.0,1.125,0.6319440007209778,20.6875,0.3392859995365143,24.225507736206055,7.578125,4.84375,8.625,0.3476560115814209,2.811708927154541,2.835937976837158,7.375,8.46875,25.09375,0.8632810115814209,9.608098983764648,1.8395060300827026,15.375,4.326621055603027,8.818829536437988,16.6875,10.416666984558105,12.375,20.875
1990-01-09,5.71875,12.895833015441895,1.15625,0.6302080154418945,20.6875,0.3359380066394806,23.551015853881836,7.34375,4.804687976837158,8.625,0.3398439884185791,2.752410888671875,2.820312976837158,7.328125,8.40625,24.84375,0.8476560115814209,9.597823143005371,1.7901229858398438,15.4375,4.277453899383545,8.625717163085938,16.5625,10.083333015441895,12.125,20.625
1990-01-10,5.71875,12.729166984558105,1.125,0.6128469705581665,20.5625,0.3214290142059326,22.932729721069336,7.234375,4.773437976837158,8.671875,0.34375,2.801826000213623,2.796875,7.34375,8.25,24.75,0.84375,9.289542198181152,1.80246901512146,15.375,4.257788181304932,8.561346054077148,16.5625,10.041666984558105,12.1875,20.708332061767578
1990-01-11,5.78125,12.833333015441895,1.125,0.6006940007209778,20.75,0.3080359995365143,23.01704216003418,7.328125,4.773437976837158,8.796875,0.3359380066394806,2.77217698097229,2.835937976837158,7.34375,8.1875,24.96875,0.8398439884185791,9.289542198181152,1.8148150444030762,15.21875,4.247954845428467,8.690088272094727,16.59375,9.916666984558105,12.25,20.416667938232422
1990-01-12,5.5625,12.520833015441895,1.1015629768371582,0.5980899930000305,20.0625,0.3080359995365143,22.03340721130371,7.109375,4.601562976837158,8.46875,0.3242189884185791,2.722762107849121,2.75,7.21875,8.03125,24.46875,0.8359379768371582,9.022364616394043,1.746914029121399,14.875,4.13978910446167,8.49697494506836,16.0625,9.833333015441895,11.9375,20.0
1990-01-15,5.484375,12.208333015441895,1.109375,0.5980899930000305,20.0,0.3058040142059326,22.117719650268555,7.078125,4.523437976837158,8.5,0.3320310115814209,2.717820882797241,2.695312976837158,7.1875,7.9375,24.53125,0.84375,9.032641410827637,1.7283949851989746,14.75,4.110289096832275,8.464789390563965,16.15625,9.833333015441895,12.09375,19.791667938232422
1990-01-16,5.578125,12.1875,1.171875,0.6163190007209778,20.25,0.311383992433548,22.34255027770996,7.078125,4.5625,8.609375,0.3359380066394806,2.747469902038574,2.695312976837158,7.125,8.03125,25.03125,0.8554689884185791,9.197056770324707,1.753085970878601,14.8125,4.100456237792969,8.336047172546387,16.46875,9.791666984558105,12.03125,19.958332061767578
1990-01-17,5.515625,12.0,1.175781011581421,0.6076390147209167,20.28125,0.296875,22.03340721130371,7.015625,4.53125,8.5625,0.3359380066394806,2.747469902038574,2.632812976837158,6.859375,8.03125,24.71875,0.84375,9.053193092346191,1.80246901512146,14.5625,4.090622901916504,8.17512035369873,16.375,9.75,11.84375,20.083332061767578
1990-01-18,5.421875,12.166666984558105,1.1640629768371582,0.6597219705581665,20.21875,0.2890630066394806,21.97719955444336,7.078125,4.507812976837158,8.6875,0.328125,2.791943073272705,2.640625,6.921875,8.0625,24.875,0.859375,9.022364616394043,1.8641979694366455,14.5625,4.061122894287109,8.17512035369873,16.5,9.666666984558105,12.0,20.0
1990-01-19,5.4375,12.25,1.183593988418579,0.6536459922790527,20.21875,0.3058040142059326,22.202030181884766,7.171875,4.539062976837158,8.625,0.328125,2.7870020866394043,2.6875,6.890625,7.96875,24.65625,0.875,9.001812934875488,1.89506196975708,14.4375,4.149621963500977,8.14293384552002,16.75,9.625,12.15625,20.291667938232422
1990-01-22,5.296875,11.8125,1.1484379768371582,0.6302080154418945,19.53125,0.296875,21.190292358398438,6.921875,4.40625,8.421875,0.3125,2.742527961730957,2.640625,6.8125,7.75,24.15625,0.8710939884185791,8.714082717895508,1.8518520593643188,14.0,4.051290035247803,7.853264808654785,16.09375,9.333333015441895,11.75,19.75
1990-01-23,5.296875,11.979166984558105,1.1484379768371582,0.6232640147209167,19.4375,0.3013390004634857,21.527538299560547,6.90625,4.4375,8.265625,0.296875,2.7079379558563232,2.617187976837158,6.90625,7.875,24.1875,0.8710939884185791,8.621599197387695,1.8827159404754639,13.875,4.070957183837891,7.9498209953308105,16.375,9.083333015441895,11.78125,19.666667938232422
1990-01-24,5.328125,12.104166984558105,1.1875,0.6302080154418945,19.5,0.3035709857940674,21.358915328979492,6.78125,4.414062976837158,8.28125,0.3046880066394806,2.732645034790039,2.601562976837158,6.96875,7.75,24.375,0.8398439884185791,8.672979354858398,1.8827159404754639,13.8125,4.051290035247803,7.8854498863220215,16.34375,9.125,11.75,19.875
1990-01-25,5.234375,11.875,1.1953129768371582,0.6302080154418945,19.03125,0.3046880066394806,21.27460479736328,6.625,4.296875,7.84375,0.3085939884185791,2.6931140422821045,2.578125,6.890625,7.71875,23.96875,0.828125,8.590770721435547,1.8271600008010864,13.90625,3.9726240634918213,7.6923370361328125,16.15625,9.041666984558105,11.5,19.333332061767578
1990-01-26,5.265625,12.0,1.2109379768371582,0.6302080154418945,19.0,0.2924109995365143,21.330812454223633,6.609375,4.21875,7.890625,0.2890630066394806,2.6782889366149902,2.5625,6.859375,7.8125,24.21875,0.8359379768371582,8.570219039916992,1.808642029762268,13.875,3.933290958404541,7.6923370361328125,16.09375,8.833333015441895,11.6875,19.291667938232422
1990-01-29,5.296875,12.020833015441895,1.1953129768371582,0.6354169845581055,19.0625,0.296875,21.38701820373535,6.609375,4.265625,7.828125,0.2695310115814209,2.7079379558563232,2.578125,6.828125,7.8125,24.3125,0.8125,8.70380687713623,1.7777780294418335,13.8125,3.943125009536743,7.724523067474365,16.09375,8.625,11.75,19.125
